video_id	尺秒	チャンネル	題名
fTVuKm94JaM	887	Futo Fujikura	Bluecoats 2022 Tuba cam （Futo Fujikura）
0cGBH0cmxyQ	916	Futo Fujikura	Bluecoats 2022 Tuba face cam （Futo Fujikura）
ZDYW_lSqNXw	804	rbass311	Bluecoats 2023 - Tenor Cam
GUK3Yo7aPP0	1043	Aidan Eames	"Bluecoats 2024 ""Change Is Everything"" Victory Run Quad Cam - Aidan Eames"
yWcu9cGyLas	857	Kwanwoo Lee	"Bluecoats 2024 ""Change is Everything"" - Victory Run Timpani Cam"
P3ith7YgIi8	905	Silent Command	Bluecoats 2024 Drum Major Head Cam | Tony Gamez
Qyxkd2CriII	863	Jacob Singson	Bluecoats 2024 Drum Set Head Cam - Jacob Singson | 🟥 Change is Everything 🟥
sr4a5Fix1sg	832	Marching Vlogs	Bluecoats 2024 Trumpet Soloist Cam - Cameron Reed - DCI Finals Week
t6BSuFDlz3A	879	lprende	Bluecoats 2024 Tuba Cam - Victory Run - Change is Everything - Luke Prendergast
aC30PNLrkP0	835	Riku Takahashi	Bluecoats 2024 Tuba Horn Cam - Victory Run - Change is Everything - Riku Takahashi
DKPxyfV_CDU	836	Davis Jay	Bluecoats 2024 VICTORY RUN Snare Cam - Change Is Everything - Davis Jay
3nBV5SuBhW4	1017	Marching Vlogs	Bluecoats 2024 Victory Run Center Snare Cam - Jackson Culp
VgKTR7u0Jto	820	KeenanGlimpseMusic	Bluecoats 2024 “Change Is Everything” Victory Run Baritone Headcam - Keenan Glimpse
ZWPK5gY0qwo	846	Kelsan Giamporcaro	"Bluecoats 2025 ""The Observer Effect"" Synth 2 Headcam"
-SojCmn9IiY	801	Finals Sync Archive	Bluecoats 2025 - The Observer Effect | Center Quad POV + Finals Sync
DE56qV19Xrs	830	Darius McCann	Bluecoats 2025 - “The Observer Effect” - Marimba Cam
0gMjDMzT4oA	911	Jacob Singson	Bluecoats 2025 Drum Set Cam - Jacob Singson | 👓 The Observer Effect 👓
F5k11Xx2rck	854	Brenden Kasprzyk	Bluecoats 2025 Quad Cam | Brenden Kasprzyk
DzjHl3AqH_M	829	Brandon Mendoza	"Bluecoats 2025 Synth 1 Cam - ""The Observer Effect"""
SC_iQ-wi8ys	806	KeenanGlimpseMusic	Bluecoats 2025 “The Observer Effect” Bass Trombone / Lead Bari Headcam
OSGs0AN1NmE	770	Bluecoats	Bluecoats 360° Snare Cam
L4oBHp5VmMk	1077	Ska Tune Network	Bluecoats 50th Anniversary Alumni Corps GO PRO Full Rehearsal Run - Baritone/Trombone
0Ed7mX27sa0	965	Sophie Witko	Bluecoats Alumni 2022 Mello GoPro (Sophie Guidry Witko)
0mX2yFEMO8U	805	ThatWasLoud	Bluecoats Euphonium/Trombone Cam - Luke Heinrich
WPdSFIqFzQk	825	Blooreid	Bluecoats Jagged Line Chestcam Lead Baritone - Blooreid at Atlanta Regional
NdQINW2eCG8	843	Kwanwoo Lee	"Bluecoats Timpani Cam 2022 - ""Riffs & Revelations"""
qZWZCp1UIsc	826	Kwanwoo Lee	"Bluecoats Timpani Cam 2023 - ""The Garden of Love"""
GZpIsybepIA	684	Blooreid	Bluecoats in Hong Kong, Chinese New Year Dress Rehearsal GoPro
YA6iDXE1iLI	768	Nathan Theriault	Boston Crusaders 2013 - Nate's Contra Cam
d30NdyDvD3o	710	DKStudios	"Boston Crusaders 2018 ""S.O.S"" Color Guard Cam | Davis Kerns"
uj9KSohNK8s	790	Finals Sync Archive	Boston Crusaders 2018 - S.O.S. | Finals + Quad POV Sync
5o7tjKNq0sA	764	Alec Weltz	Boston Crusaders 2019 -  Finals Week Run - Snare Cam
bgILQgPvOW4	884	Erick Johnson	Boston Crusaders 2019 - 2nd Bari GoPro
1a8kzoOS4Wk	636	Alec Weltz	Boston Crusaders 2021  - Finals Week Run -  Snare Cam
8WHyEQ0w4bk	709	DKStudios	"Boston Crusaders 2021 ""ZOOM"" Color Guard Cam | Davis Kerns"
QVQXXIirSAs	736	Owen Clark	Boston Crusaders 2021 GoPro Lead Mello Cam
J6mtdz__yFc	710	Frank De Leon	Boston Crusaders 2021 Marimba Cam - Frank De Leon
0SO-Eu4uFjM	764	Donovan Leary	Boston Crusaders 2021 TRUMPET HEADCAM | Donovan Leary | 4K
ynRRXlVXTfo	403	rbass311	Boston Crusaders 2022 - Spanks & Red's Rhumba (GoPro Snare Cam)
s8pQG6ahrD8	453	maxwtrumpet	Boston Crusaders 2022 Bus Unloading GoPro Run
OLUYqKQjMxs	843	maxwtrumpet	Boston Crusaders 2022 GoPro Run – Mic'd 3rd Trumpet
t-NE9eK5hi8	812	Owen Clark	Boston Crusaders 2022 Lead Mello Soloist Cam - Paradise Lost
0wowH1EfIC8	778	Mauricio Gonzalez	Boston Crusaders 2022 Tenor Cam | Mauricio Gonzalez
R0ppTggelsM	850	Hunter Jones	Boston Crusaders 2022 Trumpet Headcam - Hunter Jones
JUyd5HFGEys	751	Jason Garcia	Boston Crusaders 2024 GLITCH Drumset/Auxilary Headcam -Jason Garcia
7ppW7fx4Z9U	729	Kimberlin Brown	Boston Crusaders Colorguard 2025 GoPro Rehearsal Run
UW6wJ-2dRok	822	Dylan Teets	Boston crusaders GOLIATH gopro 1st Baritone/goliath soloist
LtmcNclfcEY	860	Marching Vlogs	Broken City 2023 Timpani Cam - Aaron Milam - WGI FINALS WEEK
ROn3vgCUyo8	767	Tony Teleky	Cadets 2015 Finals Week Full Run Snare Cam - Tony Teleky
f-WmduWLmHc	840	Servact	Cadets 2017 - Lead Baritone Headcam - AJ Knotts
7HyLdG3XYCA	818	dfaldraga98	Cadets 2017:Tuba Headcam- Daniel Faldraga
BeliWE8CkYM	900	Alex Dumouchelle	"Cadets 2019 ""Behold"" | Euphonium Soloist Headcam | Alex Dumouchelle | Finals Week 8-06-19 (60 FPS)"
YO1cf83euUY	868	Tucker	Cadets 2021 Euphonium Cam - Tucker Stanton Finals Week
JhBTWHkf_Nc	883	Alex Dumouchelle	"Cadets 2021 Lead Baritone Small Ensemble Headcam ""Shall Always Be"" | Alex Dumouchelle | Finals Week"
WwSdqaKBkBU	805	Trumpet 6	Cadets 2022 2nd Trumpet Cam Navy-Marine Corps Memorial Stadium
B5Te7BJS6gM	775	Andy Pham	Cadets 2022 Marimba Head Cam - Andy Pham
OUt-VZRJQ0I	745	Trumpet 6	Cadets 2023 2nd Trumpet/Octet Cam
QXp1Ul3g01o	1012	Ricardo Valentin	Cadets Baritone head cam 2017
4110wG-DaBU	681	Frank De Leon	Cadets On-Field Battery Cam 2023
NW00v9WplZA	710	Tony Teleky	Cadets2 2013 Snare Cam - Tony Teleky - DCA Finals Day
opU37eU-zPs	2781	NA	Can Troopers Bounce Back?! 👀 |  @TrottahCS   POV
Bf8dKhLJYlo	3303	NA	Can the TROOPERS keep their WIN-STREAK?! | @TrottahCS POV
efFYi9Xv9lw	401	Marching Vlogs	Cap City 2 2023 Marimba Cam - Alex Houchin - WGI FINALS WEEK
hjAb8umfQuw	462	BigAlDrumz	Cap City 2 2025 - “Is Less More?” Snare Cam - WGI Finals Week
KwNcqu7u6eQ	488	Marching Vlogs	Cap City Percussion 2023 Snare Cam - Nathan Koenas - WGI FINALS WEEK
7cny1tbZR-w	818	Mike R	Carolina Crown 2013 head cam Re-Upload
M4u3A11iC-k	818	Jarrod Briley	"Carolina Crown 2014 ""Out of This World"" Tuba Chest Cam"
62NqmdLRloI	843	Mike R	Carolina Crown 2014 head cam Re-Upload
XhYhnNs_TaI	813	Jeremy Cover	Carolina Crown 2016 Baritone head-cam
fVUhK_9Ft8U	839	Spence Howell	Carolina Crown 2016 Lead Mello Cam: Spence Howell
yKE92ubFg0o	751	Charlie	Carolina Crown 2016 Trumpet Cam
Y7b3qX6GH7I	763	Jeremy Cover	Carolina Crown 2017 Baritone head-cam
VTydJRh_eO0	844	Justin Zaza	Carolina Crown 2017 Trumpet Headcam- Justin Zaza
pKOaNORS4As	752	Chris Clarkston	"Carolina Crown 2018 ""BEAST"" Full Run- Mello 2 Headcam"
wqX0zs0gVrI	754	Jeremy Cover	Carolina Crown 2018 Baritone Head-cam
IDYBdl9FlKk	787	Spence Howell	Carolina Crown 2018 Trumpet Cam - Spence Howell
scmw4z_5qUY	766	Jorge Veksler	Carolina Crown 2018 Tuba cam
q22kM2nfAhc	838	Anne Turner	Carolina Crown 2019 Full Run: First Person Battery Perspective | Bass 1 Cam | Anne Turner
4XuitIgEYxk	798	Tyson Harloff	Carolina Crown 2019 Trumpet 3 Head Cam | Tyson Harloff (Finals Week)
aSRAuLjrd2E	818	Brett Abraham	Carolina Crown 2021 - In My Mind: Drum Major GoPro
cBDmfM0pcYs	742	Brett Abraham	Carolina Crown 2022 - Right Here, Right Now: Drum Major GoPro
pkNRTq2SnNQ	833	Luke Weatherly	Carolina Crown 2022 Lead Baritone Cam (Finals Week)
jQ6Zwt3c44M	901	David Grullon	Carolina Crown 2022 Tenor Head Cam
dkXpK5cZYK0	919	Sergio Villarreal Bañuelos	Carolina Crown 2023 Mello Cam - Sam Clear
ILIsK6rQQ8c	807	Sergio Villarreal Bañuelos	Carolina Crown 2023 Tuba Head Cam
X8sqdytdQSk	813	Liam Maxwell	Carolina Crown 2023- Nose & Quad Cam
n4uVxvkMt48	778	Jacob Atkisson	Carolina Crown 2024 Lead Baritone Headcam
EOcFyJz76ZU	807	Devin Quads 	Carolina Crown 2024 Quad Head Cam | Devin Quads
W3WSxAZc3ng	822	Sergio Villarreal Bañuelos	Carolina Crown 2024 Tuba Head Cam
0iPfwtXJ_Mg	897	Kayla Stanz	Carolina Crown 2025 Lead Mello Headcam
m9DP9IlHFPE	857	Connor Bruce	Carolina Crown 2025 Lead Trumpet Cam
mjlEc2U_rbc	871	Jason Parra	Carolina Crown 2025 Tuba Headcam Jason Parra
n9uUgHU-q7Y	878	Travis	Carolina Crown 2025 Tuba Headcam Travis Zuniga
reoCwR8h1wg	750	Alex Micco	"Cavaliers 2017 ""Men Are From Mars"" Baritone GoPro Run Alex Micco"
mbuxtmKhPJE	783	Adam Zapf	Cavaliers 2019 - Lead Trumpet Cam - Adam Zapf
grsKHtC1U1k	684	Zach Shaw	Cavaliers 2021 XyloGlock Headcam
5FkvLQ8MSeI	722	Austin Giffin	Cavaliers 2022 Baritone cam
iGUudi-UZu8	731	Jacob Cauley	Cavaliers 2022 Marimba Cam
sHYVyVtaDwI	927	Andrew Groover	Cavaliers 2022 Tuba GoPro + 1/2 Encore (Hooked on a Feeling)
uiVregozSH0	874	John Tyson	Cavaliers 2023 Color Guard Headcam - John Tyson
Xl2opRdO7ik	726	Paxton Krafft	Cavaliers 2023 Snare Cam- Finals Day Rehearsal
lxxrNjiLyvo	758	John Tyson	Cavaliers 2024 Color Guard Headcam - John Tyson
lRISXdQx4lk	765	MajesticAJ39	"Cavaliers 2025 ""Shapeshift"" Baritone Headcam"
uNa6UPFPUYY	862	Quinn Cunningham	Cavaliers 2025 Lead Baritone Headcam | Quinn Cunningham
AcNdyyOxyfg	665	NA	Cavaliers 2026 “The Lost Boys” | Vibraphone Headcam
vpCNsO8WJt8	477	Ryan Zeutzius	Color Guard Cam - Westview Marching Band 2017 - Dylan Dwyer
UPN_LEGridw	580	Rachel Carr	Color Guard Go-Pro Cam - Pacific Crest 2021 “eX”
1Q5X0fhHA3c	511	Remy Nguyen	Colt Cadets 2025 “The Hive” Trumpet 2 Headcam - Remy Nguyen
m2ozpPehR98	804	Chandler Gehrig	"Colts 2019 ""When Hell Freezes Over"" - Reed Tuba Headcam"
rSiCuE5ORDw	779	Aaron Zoellner	Colts 2019 - Lead Baritone Headcam (Aaron Zoellner)
-VdYbxNN4kk	532	Javi Garza	Colts 2021 - Center Marimba HeadCam
fhWko__ooGI	546	Kaden O	Colts 2021 Baritone Cam
wfMp5hrnYEo	721	mickmickmickey	Colts 2022 - Mello 2 Headcam
JobXiLU9FMw	931	Scott McLain	Colts 2022 Baritone/Trombone Soloist GoPro Run
RDEfMcsC9Hk	832	James Baxter	Colts 2023 2nd Baritone Headcam - James Baxter
vY5nWtMgda8	875	jack zirkelbach	Colts 2023 Fisher-Price Lead Trumpet Cam
tr1gi2gmL64	832	Kirby Zinniel	Colts 2023 T2 Headcam
sKd12hqohxY	835	Samuel Wells	Colts 2024 Baritone Headcam
Q6PhRFRRZk8	865	James Baxter	Colts 2024 Lead Baritone Headcam - James Baxter
0AFjJ9Yzh-U	780	jack zirkelbach	Colts 2024 Screamer Soloist Trumpet/Flugel Cam (Fisher-Price Part 2) (Lil JeLlY)
JydewvIX5wI	780	Foose	Colts 2024 “On Fields” 2nd Baritone Headcam
Ipe-9BW9pEY	1012	Matt Malabonga	Crossmen 2012 Quad Cam!
9f65uqZd8-M	697	zitro	Crossmen 2016 Trumpet Head Cam
spmzpbmY77k	705	Nate Teed	Crossmen 2017 Finals Night Drum Set Cam
fCn3YJHzTkA	696	Nate Teed	Crossmen 2017 Marimba Cam - Shelby Huffman
uV1jJ9NzWKg	730	Mitchell Robinson	Crossmen 2017 Trumpet GoPro Finals Day Run | Enigma |
AYVNTx5FwdA	696	Cullen Mitvalsky	Crossmen 2018 Drumline -On Field Battery Cam (Finals)
bK59yLoUypk	698	Nate Teed	Crossmen 2018 Finals Night Drumset Cam - Nathan Teed
-lanpJADH6g	627	Sebastian Valdez	Crossmen 2019 finals week GoPro run euph/bassbone- Sebastian Valdez
e8F3xic_xDI	629	Paxton Krafft	"Crossmen 2021 Drumset Cam- ""yOUR Move"" - Ben King"
HTFqDY60ySg	539	Aidan Eames	Crossmen 2021 Quad Cam - Aidan Eames
yCIOt_DXzOI	625	Sergio Villarreal Bañuelos	Crossmen 2022 Tuba Head Cam
bNknLXNEkKM	689	Garrett Sharp	Crossmen 2022 Tuba Headcam | Gerald Floyd
s4mvPiccjh4	672	Garrett Sharp	Crossmen 2022 Tuba Soloist Headcam | Garrett Sharp | Contra Flip
m14ZXeXt_v4	752	ManKisserBmoney	Crossmen 2023 Baritone 2 GoPro footage
T5rCvuwGtiU	828	Jessica Woolam	Crossmen 2023 mellophone head cam
2-MJmTGPZ5g	699	Kyle StClair	Crossmen 2024 “Lush Life” -Lead Trumpet Headcam -Kyle St.Clair
xMLopD4JPXs	828	ZaneRoot	"Crossmen 2025 ""Crosswalking"" Lead Baritone Headcam | Zane Root"
L87aXPPxGtA	678	Carter Hay	Crossmen 2025 “CROSSWALKing” | LEAD TRUMPET HEADCAM - Carter Hay
bcK_2WzNqxo	717	Cody Jones-DeVol	Crossmen 2026 Center Marimba Headcam [Cody Jones-DeVol]
k-aLlnvPZ3k	713	Henry Duff	Crossmen 2026 Marimba 2 Headcam - Finals Week [Henry Duff]
pcZsCy8aKWQ	708	Bryansmen_	"Crossmen 25' ""CROSSWALKing"" Bryan Menchaca Tuba cam"
tz-kh3oPMvI	542	Sergio Villarreal Bañuelos	Crossmen DBC 2021 - Tuba Head Cam
Gxo1TW2WQ64	501	Paco	Crossmen Winds 2018 Tuba Cam
E8wAqa2FZEw	440	Paco	Crossmen Winds 2019 Mellophone Cam
5br2_LOllug	779	cmlyman1	Crossmen finals day trumpet cam
7VdBOPJK6RA	722	Drum Corps International	DCI Brass Cam: 2013 Phantom Regiment
OXCjAXrRrUg	832	Drum Corps International	DCI Drum (& Brass) Cam: 2012 Carolina Crown
ciSP_ZRZq-k	478	Drum Corps International	DCI Drum Cam: 2012 The Cavaliers
9h87-NxvAdc	696	Drum Corps International	DCI Drum Cam: 2013 Blue Devils
_xHx10Jeze4	793	Drum Corps International	DCI Drum Cam: 2014 Bluecoats
4xW6Zs5KKEQ	311	Drum Corps International	DCI Drum Cam: Episode 6
FojRTBT21PM	777	Drum Corps International	DCI Horn Cam: 2014 Blue Devils Victory Encore
7uZg_sH5fzw	740	R3medy Productions	Daniel Waid - 2nd Trumpet Head Cam | Spirit of Atlanta 2019
h5mwzJW60Bc	482	Marching Vlogs	Dark Sky Percussion 2022 Snare Cam - WGI Finals Week - William Echegaray
Vy5GlAOGDp8	1232	SfVegasDad	Denevie gone for the whole summer w/DCI Sacramento Mandarins! (GoPro)
LgHkjk1DcBU	706	Ian Gray	End of the Season Lead Trumpet Head Cam Seattle Cascades 2019
FxZ3YiKHrMA	811	ThatWasLoud	Erick Eckstrom | 2013 Cavaliers CENTER Marimba Cam
63gFVVb04SM	657	vbtiki	Fabulous Marching Cavaliers GoPro 2014 Sportsplex
o2A5_OnZ2LU	864	FloMarching	Finals Week GoPro Run - 2022 Carolina Crown, 'Right Here, Right Now'
sVM9odovRwU	880	Anthony D'Andrea	Finals Week Runthrough - Cadets Quad QB Cam
V95ah6MM1MM	517	Marching Vlogs	GMU 2022 Snare Cam - WGI Finals Week - Kennan Spencer
VdrNdtZr3V0	362	GVHSBand	Garnet Valley Color Guard - GoPro View - 05/02/2018 Friends & Family Night
WwRG3iDecgc	765	Raymond Herrera	Genesis 2015 - Cymbals Cam
5sy2ashSFBY	664	Gentry Walker	Genesis 2015 lead baritone cam
PYKOWSQgR54	707	Jonah Taylor	Genesis 2017 Mello cam - Jonah Taylor
lF0GqwYtf7Q	682	DanielT	Genesis 2017 Trumpet Cam
fuAE5iSItO4	736	Kweezy_99	Genesis 2018 Snare Cam-Kyle Key
9gIiXfnM7qo	738	Kent Fuller	Genesis 2019 Marimba Cam
GlZWxdxx1y0	730	Bryan Paxtor	Genesis 2021 - Lead Baritone Cam - Bryan Paxtor
AjzCPOOoiJY	666	Kent Fuller	Genesis 2021 Drum Major Podium Cam - Semi’s Run
xijjdGlB-rw	584	Kent Fuller	Genesis 2021 Marimba - Headcam
KgIbTAgkaXI	584	Angelo Cooper	"Genesis 2021 side 1 pit cam. ""There's No Place Like Home"""
xFbWaew0Ijs	827	Noah Bretz	"Genesis 2022 ""Dorothy"" - Finals Week Headcam - Baritone 3/Tenor Trombone 4"
wB62Q3qYr3M	663	Gavin Levis	Genesis 2022 - Lead Mello Headcam
soKlYQQUYTQ	758	Jesus Gaucin	Genesis 2022 Quad Cam
vvHl_Ome4jI	664	Kc Carrillo	Genesis 2022 Vibraphone Headcam
y2BZkNRafG4	696	Nathanael Higgins	Genesis 2022 Xylo/Glock Headcam 8/10/22
Nnj5Vm1mEks	806	Jason Garcia	Genesis 2023, Symbio.sys Drumset Cam -Jason Garcia
76Q6E7RQrLw	677	Luke Pusey	"Genesis 2024 ""Signal"" Xylo/Glock Head Cam - Luke Pusey"
fImPwAYcXZ8	689	johnny cui	Genesis 2024 Bass 1 Headcam
29ciZVXrJCA	799	Natasha Campbell	Genesis 2024 Trumpet Soloist head cam
ZR09gMyTU2Y	945	Marina	Genesis 2025 Headcam 7/21/2025
PLt-u8Wx8e0	642	Reggie Williams	Genesis 2026 trumpet headcam
wP-xI6Oz0a8	693	Alfonso Gonzalez	Genesis DBC 2019- Euphonium GoPro Cam- Alfonso Gonzalez
NpU7qqxZ0Pk	789	Fabián Flores	Genesis DBC 2023 Baritone Headcam (July 18)
2j5ZesaFBig	871	Amanda Strickland	Genesis DBC 2023 Lead Mello and French Horn Soloist Headcam
EqmIv29XcU0	730	Chris Willis	"Genesis DBC 2025 ""Kaleidoscope Heart"" - Lead Baritone Sextet Soloist Headcam"
wFHG8rTuBP4	760	Angelo Cooper	"Genesis Drum and Bugle Corps 2022| Bass 1 Headcam | ""Dorothy"""
k4Z3L5XeXLI	711	Waco High Band Sage	Genesis Headcam 2023
NgvIKCILdbY	741	Elie Katz	Go Pro Run through Colts 2016 Championship week!
MCDkbu8Q6co	455	Tyler Zygmunt	GoPro Hero 3+ Goalie Cam SHS Blue Knights
AmcOAMivhwA	574	vbtiki	GoPro version of Fabulous Marching Cavaliers 2014 Sportsplex
WIQvt_iJBo0	345	Danny Jones	GoPro: Air Cadets Gibraltar
_7N8hlSiF94	669	450r1	Gold Drum Corps - Ethan GoPro Video practice run in Missouri
E9lBfAICjhE	2356	NA	HIGHLIGHTS GONNA GO HARD 😭 |  ‪ @TrottahCS  POV | Troopers ESEA Match 8
oVHlBpR_8iQ	594	Capo Mellophone Section	Headcamden 8 - Victory run(?) / Final headcam of the 2023 season
dtDsMOJgjIU	693	Caden Smith	In The Center of the Ring (The Academy) - Drumset Headcam 08.04.26
d1Drhis5tek	342	A True Fan Of Many Things	Indiana Pacers vs Cleveland Cavaliers Preseason Mini Highlights October 10th 2024 (Fan POV)
kFuhfiQ-7GA	537	Marching Vlogs	Infinity 2023 Marimba Cam - Joe Tremper - WGI FINALS WEEK
o0uwvqAWv8o	514	Marching Vlogs	Infinity 2023 Snare Cam - Jacob Kitchen - WGI FINALS WEEK
G8kDJS_jOFA	2092	NA	Instant Karma 😭 |  ‪@TrottahCS  POV | Troopers ESEA Match 7
WXtZD5jF91Q	796	Andrew C	Jason Schladweiler Bluecoats 2014 Finals Snare Cam
wVN9zPGTqdQ	671	Cameron Burch	Jersey Surf 2018 | Lead Baritone Headcam (SOLOIST) | Cameron Burch
qf_p6O3Xhu8	577	nyan	Jersey Surf 2022 - Baritone Soloist Cam (Jeff) Meet Me In Atlantic City
gQfnZbUYpPE	805	magnolia 	Jersey Surf 2022 - Color Guard Captain Go Pro Headcam
UWcMlGOAvDg	834	nyan	Jersey Surf 2022 - Lead Trumpet/Trumpet Trio Headcam (Thomas) Meet Me In Atlantic City
d5o4z2f0DYE	759	Jessica Hill	Jersey Surf 2022 Color Guard Ending Soloist Head Cam
MhcCJ-krbe0	725	Emma Blevins	Jersey Surf 2022 Lead Trumpet Soloist Head Cam
2tow8_Xo8Yw	652	Emma Blevins	Jersey Surf 2022 Mello Soloist Head Cam
nLLIb2pebMo	635	Minus One Productions	Jersey Surf 2022 Vibe Cam - Derek Mickelson
nCXmnWFdQCM	713	Carson Pomeroy	Jersey Surf 2022 Xylophone Cam - Carson Pomeroy
LUwt7Bd8cOM	619	Otto Hillegass	Jersey Surf 2023 Drum Major Headcam
r6GbG4MQiR4	657	Otto Hillegass	Jersey Surf 2023 Sarah Headcam
KOKmHiIeGfA	746	Leo Adkinson	"Jersey Surf 2024 ""Surfadelic"" Bari 3 Headcam"
BaTHdPON1ww	737	Leo Adkinson	"Jersey Surf 2024 ""Surfadelic"" Bari 3 headcam"
d45JfwPDHAY	764	Jake Waze	"Jersey Surf 2024 Lead Baritone/ Trombone Soloist Headcam (""Surfadelic"", Performer: Jacob Wazeka)"
BQO-PO9JCfo	734	Jake Waze	Jersey Surf 2024 Lead Baritone/Trombone Soloist FIRST FULL RUN Headcam
f-c8oHAgQPI	832	botdrums	Jersey Surf 2024 Snare Headcam - William Bottka
96w7Qnrxo1Q	982	Max Murphy 	Jersey Surf Quad 24' Headcam
IEO8OIjy8n0	364	ThatWasLoud	Joseph Bermea Bluecoats 2017 Trumpet Cam
tvxb3DE4NP4	531	Cubbyman	LBHS Marching Cavaliers 2024 Black Widow Drum Set Gopro | Cavalier Classic Performance | 10/19/2024
ASK8ycev1Ug	534	Mason Richards	Lake Ridge High School Marching Band 21-22 Senior Night Mello Cam (360°)
mIf3FIHXi2o	408	Mason Richards	Lake Ridge High School Marching Band 22-23 Front Ensemble Cam (360°)
oItDxbiVl2s	494	Mason Richards	Lake Ridge High School Marching Band 22-23 Stadium Rehearsal Mello Cam (360°)
etP0qQfkjhA	374	Mason Richards	Lake Ridge High School Marching Band 23-24 Front Ensemble Cam (360°)
ezb4ip_k1AA	633	Mason Richards	Lake Ridge High School Marching Band 23-24 Side 1 Drum Major Cam (360°)
XflR3Q8cT24	475	Mason Richards	Lake Ridge High School Marching Band 23-24 Side 2 Drum Major Cam (360°)
7SKdzsyPaN4	797	natcharles123	Lakeside High School Marching Band 2022 “The Monarchy” Lead Baritone Cam Nathan Oester
Bd9eAEbFy4g	722	natcharles123	"Lakeside High School Marching Band 2023 ""Golden"" Lead Baritone / Soloist Headcam Nathan Oester"
WhjEz8-UYk4	707	Ian Gray	Lead Trumpet Head Cam in Denver Seattle Cascades 2019
OTgQ29V8VNg	742	Charlie Burke	Lead baritone/Trombone Cavaliers 2022 Gopro run
c8JdPlBghZI	630	Phoenix Pongun	Leilannie saber head cam | Pacific Crest 2023 | 8/11/23
LEvw2Xjdgmo	657	Loam Troopers MTB	Loam Troopers | GoPro Hero 6 Mountain Biking Test | First Upload!
lgx0ddwD4fk	663	Nate Teed	Louisiana Stars 2016 DCI Drum Set Cam - Nathan Teed
GHwxcDHFat0	616	Vic Firth Marching	MADISON SCOUTS  2016 SNARE CAM / Finals Week Run-through
FeOA6QeefBc	763	Brenden Kasprzyk	MADISON SCOUTS QUAD CAM 2022 | Brenden Kasprzyk
_ja917fqz_U	795	Nathan Bos	MANDARINS 2023 - Contra Headcam - Nathan Bos
2COKkAw1F7I	951	Kade Robinson	MANDARINS 2023 - LEAD BARITONE HEADCAM - KADE ROBINSON
9P0_hcCYnnE	838	John E. Kouame	MANDARINS 2023 “SINNERMAN” 3RD EUPHONIUM HEADCAM
LakyJ_0gh_s	747	Drew Higgins	MUSIC CITY 2024 - Leave It At The River  - Drew Higgins Euph Headcam
lOEQ9EHL1y0	692	The Smurf	Madison Scouts 2012 - Ryan Yee Quad-Cam
sH7-_0X9Nls	719	sriker977	Madison Scouts 2012 Head Cam
xetq_OrA2uQ	944	Noah Dyer	Madison Scouts 2014 Trumpet Soloist Head Cam
DxcXArJlT38	961	Ryan Siggins	Madison Scouts 2017 Euphonium Cam
-WlgjiImJY8	712	Joel Zapata	Madison Scouts 2017 GoPro run [2nd Trumpet]
QK-ah7LtflQ	617	RosemontCobra	Madison Scouts 2017-The Last Man Standing-Mello Cam- (Ending Cut Early)
ZtwOudaLdws	814	Sam Camarata	Madison Scouts 2018 Lead Trumpet GoPro Run: Final Rehearsal Day
tFO5jRrdSdM	694	Alexander Kluskens	Madison Scouts 2021 Lead Baritone Headcam
_NhZpJQYWeI	526	Brenden Kasprzyk	Madison Scouts 2021 QUAD CAM | Brenden Kasprzyk
O8-HS1lSRa0	551	Ethan Hacker	Madison Scouts 2021 Trombone Soloist/Lead Baritone Headcam
1meyrt9Mp2k	593	Matt-tka	Madison Scouts 2021 Trumpet Headcam
O8Qf_QLJgVQ	547	Neve Bonazzo	Madison Scouts 2021 Tuba GoPro run
pQdUNRxZvJE	1100	Mason Willey	Madison Scouts 2022 Contra Cam | Mason Willey |
4fIUs1J-jmc	721	Ethan Hacker	Madison Scouts 2022 Soloist/Lead Baritone Headcam
SA27cxoQ4Wc	738	Jonah Burckert	Madison Scouts 2023 - Jonah Burckert/Jack Louvar Trumpet Headcam
tiT7ieyzWu0	793	Andy Nguyen	Madison Scouts 2023 - Semifinals Marimba Cam - Andy Nguyen
2Dtjwwv-e8k	795	Connor Flanagan	Madison Scouts 2023 Cymbal Headcam -Connor Flanagan
ow9QCJmilXU	981	Connor Flanagan	Madison Scouts 2023 Drum Set Headcam -Luke Behrends
5CozHssoyfA	777	Taylor Combites	Madison Scouts 2023 Mellophone 2 Headcam - The Sound Garden
pyXNFk2RU3Y	845	HamburgerDrumming	Madison Scouts 2023 Quad Cam - Jack Hamburger
Dm8FeBA3sKw	780	Brendan Maska	Madison Scouts 2023 “The Sound Garden” Trombone solo/Lead Baritone Headcam
2QA0gNZG1Ao	650	Andy Nguyen	Madison Scouts 2024 - Semifinals Marimba Cam - Andy Nguyen
hpbCOcBzOiA	876	Ryan Pregmon	Madison Scouts 2024 Tuba Headcam
KlFJwGCo1ro	916	BodoPlays	Madison Scouts 2025 Bass 4 Gopro Joshua Ward
6omAIlGIB0w	758	Val F	Madison Scouts 2025 Euphonium Headcam
zEnsvRP0J6M	1282	Joey B Banks	Madison Scouts Macys Parade 2014 (GOpro view from Joey B.'s snare drum)
zgBo41DxBUo	2163	boucho Nobel	Mandarins - GoPro (1080p)
